date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source
2023-07-01,2023,3,-0.0015511036736857164,-0.0030130301951416527,-0.004377861460140409,-0.004223313480490987,,-0.00493804422626809,0.004078500677415775,DANE Cuentas Nacionales
2023-10-01,2023,4,-0.0019236467024956738,-0.0038879970671530373,-0.0028199450353181277,-0.010123136275584699,,-0.004724325674356322,0.0056041122553285305,DANE Cuentas Nacionales
2024-01-01,2024,1,-0.005509195092933794,-0.007211532914519481,-0.0067687568028169665,-0.010414339297099673,,-0.009918542666758512,0.0012668758084455334,DANE Cuentas Nacionales
2024-04-01,2024,2,-0.002920426410723209,-0.004625885330545643,-0.0033721677183979892,-0.008543808113021356,,-0.007553158541336202,0.003977577267544774,DANE Cuentas Nacionales
2024-07-01,2024,3,-0.010425472169893979,-0.011417518348002531,-0.012469676429276433,-0.008089423195546175,,-0.017373946782981875,-0.006013254037826599,DANE Cuentas Nacionales
2024-10-01,2024,4,-0.0024419428594715242,-0.003978707943742776,-0.0013767618669398018,-0.00919058153136909,,-0.006618282740989301,0.003981536815748754,DANE Cuentas Nacionales
2025-01-01,2025,1,-0.004004269814027239,-0.005279149298299757,-0.002687957671826169,-0.009816522688133489,,-0.007835175677634254,0.0014652280442408738,DANE Cuentas Nacionales
2025-04-01,2025,2,-0.007839050136210446,-0.008457702737608486,-0.0077883822898652255,-0.007670644656528225,,-0.012376083439761487,-0.0049264297636053556,DANE Cuentas Nacionales
2025-07-01,2025,3,0.00040748425770331664,-0.00022299920027535336,0.0017361302776528476,-0.002932845910764925,,-0.0018074941707801884,0.003214973538128163,DANE Cuentas Nacionales
2025-10-01,2025,4,-0.0026223456886889096,-0.0024310591653655678,-0.003220177093867349,0.0015222185984615777,,-0.005239368726996929,-0.0031501750489884017,DANE Cuentas Nacionales
2026-01-01,2026,1,-0.0018696221781038247,-0.0013221884887641977,-0.002629304319468062,0.003022464875034103,,-0.0026533388332747876,-0.004013253575845255,DANE Cuentas Nacionales
