date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source,gap_ref
1984-04-01,1984,2,0.006351265350113877,0.005140106282619072,0.016678881434341264,0.02094204894679308,0.008678393802671991,0.02028560271973312,0.0009389208107375424,FRED/CBO,-0.019669355758123785
1984-07-01,1984,3,0.006513606922844417,0.004872993303834505,0.014601662998115827,0.022578102873540118,0.009608691110011947,0.019275434781695466,0.0005715621139330551,FRED/CBO,-0.01894720998189392
1984-10-01,1984,4,0.004854139195893836,0.003820717219056746,0.011056547893661062,0.021624020148442114,0.008498114260484968,0.016424954772320532,0.00014314835799389414,FRED/CBO,-0.019702814918320044
1985-01-01,1985,1,0.0038138594977557005,0.0030885093543346898,0.009030403955602395,0.019465410638092706,0.00727179086706542,0.014701245472728885,-0.00011242451146209476,FRED/CBO,-0.01894315970651128
1985-04-01,1985,2,0.002429921146921643,0.0023685885860693645,0.0062526697078411075,0.01739458852710385,0.007285807905303088,0.011843672374006076,-0.00022096499738566422,FRED/CBO,-0.019006226072654897
1985-07-01,1985,3,0.0052186138593466325,0.0033970428152763077,0.01004878014770405,0.01569442147359723,0.007832859308402718,0.015211220142155923,4.6982883880275494e-05,FRED/CBO,-0.012584500143697497
1985-10-01,1985,4,0.003122741814214791,0.002503823796590865,0.0063232864518010246,0.013969698769168204,0.0077083592663473866,0.010758145334431646,7.359668433437605e-05,FRED/CBO,-0.013782043014769485
1986-01-01,1986,1,0.0017331542682441636,0.0018340905388285478,0.0047355703380791425,0.010938893395836757,0.005765368326430931,0.008214543610128189,0.0001415675072173883,FRED/CBO,-0.012946157008874692
1986-04-01,1986,2,-0.0032135985450452154,-0.0002975076160929291,-0.0013895791276397063,0.006039998755321463,0.002019815061768071,0.0009876016882994776,-6.633760882834849e-06,FRED/CBO,-0.016796983073733784
1986-07-01,1986,3,-0.005298904243920433,-0.0013298839982134325,-0.002225076198715925,-0.00021216363619203094,-0.0024155390358053808,-0.001006447868642013,-2.694426822102969e-06,FRED/CBO,-0.01552616424072184
1986-10-01,1986,4,-0.009614578330939594,-0.0032206367440252848,-0.006972684706466836,-0.00614143066388273,-0.005734866729513399,-0.00688644897553381,-0.00017241843022475223,FRED/CBO,-0.018348215351016606
1987-01-01,1987,1,-0.01173354438924612,-0.004172637557179115,-0.009397578723795874,-0.010059581803202988,-0.006700344557518889,-0.01034346695107935,-0.0002567519734792967,FRED/CBO,-0.018988839582540606
1987-04-01,1987,2,-0.010774328293216229,-0.0038364538845474527,-0.008250981907540478,-0.011258515646201062,-0.005533377930959205,-0.010072912323149552,-0.00018687834713304596,FRED/CBO,-0.016224031952354778
1987-07-01,1987,3,-0.01039401755001812,-0.003675311040815643,-0.008912921629701032,-0.010455614396391866,-0.0032401476191346035,-0.01142198351542234,-0.00016657308106537982,FRED/CBO,-0.01545805227717878
1987-10-01,1987,4,-0.00442111072162632,-0.0013271631982281207,-0.0008745522158193353,-0.00890115812081227,-0.0005553547211327725,-0.0038698294549277534,0.00014536143738475005,FRED/CBO,-0.006273525971119298
1988-01-01,1988,1,-0.005712931948810507,-0.0018322426173131845,-0.004353340214402479,-0.007778291255096548,0.0023699622163544376,-0.007643809571046489,-3.517349996862151e-05,FRED/CBO,-0.008857347108305547
1988-04-01,1988,2,-0.0019512484011539044,-0.00037951605708741454,0.0004573934017475523,-0.006957065073788016,0.005351035969781037,-0.0029539978145827206,3.683385474850809e-05,FRED/CBO,-0.0035094116227192274
1988-07-01,1988,3,-0.0024919498122688566,-0.0005936917145685783,-0.0015174699429252314,-0.00589535709746869,0.00801259443664648,-0.004905614898992994,-0.00013754989121572692,FRED/CBO,-0.005293475828120009
1988-10-01,1988,4,0.0018485087766837438,0.0011208696224560555,0.004356719061030745,-0.003916449045723525,0.01003050625565649,0.0011016333924516175,1.9744738665394834e-05,FRED/CBO,0.00038123931808797806
1989-01-01,1989,1,0.004557488334423709,0.002234745281679551,0.007587482797573486,-0.001132257357800981,0.011746207059802671,0.0045330676315860075,0.00012388361619208865,FRED/CBO,0.0030274620178882827
1989-04-01,1989,2,0.005942755937768496,0.0028684169529391568,0.008796395028948467,0.0018522228006183639,0.013448825182697632,0.005971340906151923,0.00018217562023359335,FRED/CBO,0.0032616591450356225
1989-07-01,1989,3,0.0072844304859902564,0.0035269550116510118,0.010262483060914818,0.004305070898951158,0.015166542770938207,0.007665908852029446,0.00028671942816238527,FRED/CBO,0.0033751004573669974
1989-10-01,1989,4,0.005146056066303473,0.002870100205329962,0.006763946903619811,0.005744654891369549,0.01627906229733611,0.004377042977855794,0.00026772068503611024,FRED/CBO,-0.0018426381970773065
1990-01-01,1990,1,0.008106412106679173,0.004190160337993021,0.012559378495678786,0.005754417140810375,0.015394016026464286,0.010359920862052618,0.0006263081609567678,FRED/CBO,0.0019807542026057945
1990-04-01,1990,2,0.005939355805335111,0.003422997544154427,0.011432371863021373,0.004052947927361217,0.01184966436784407,0.009402882609089502,0.0006589978154138976,FRED/CBO,-0.0013244000440444381
1990-07-01,1990,3,0.0011709480374335612,0.0014856541813568214,0.007575478994464646,0.0002914020953408425,0.005327482871800626,0.005722672350110258,0.0004257413419637146,FRED/CBO,-0.0073946317290030095
